2019/05/09 13:02:00 [emerg] 1#1: unexpected end of parameter, expecting ";" in command line
2019/10/22 12:58:07 [error] 12#12: *44 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: tb.haitunzhuan.com, request: "GET / HTTP/1.1", upstream: "http://172.16.134.81:10021/", host: "tb.haitunzhuan.com"
2019/10/22 12:58:12 [error] 12#12: *44 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: tb.haitunzhuan.com, request: "GET / HTTP/1.1", upstream: "http://172.16.134.81:10021/", host: "tb.haitunzhuan.com"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:44:26 [error] 12#12: *7386 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:44:27 [error] 12#12: *7386 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:44:27 [error] 12#12: *7386 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:46:22 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:46:22 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:46:25 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:46:25 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:46:25 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:46:26 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7413 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /css/result.css HTTP/1.1", upstream: "http://172.16.134.81:39080/css/result.css", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7412 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /css/chan.css HTTP/1.1", upstream: "http://172.16.134.81:39080/css/chan.css", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7405 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /css/login.css HTTP/1.1", upstream: "http://172.16.134.81:39080/css/login.css", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7410 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /images/tmlogo.png HTTP/1.1", upstream: "http://172.16.134.81:39080/images/tmlogo.png", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7411 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /css/login.css HTTP/1.1", upstream: "http://172.16.134.81:39080/css/login.css", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7412 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/app.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/app.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7413 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /css/result.css HTTP/1.1", upstream: "http://172.16.134.81:39080/css/result.css", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7410 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /css/chan.css HTTP/1.1", upstream: "http://172.16.134.81:39080/css/chan.css", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/bootstrap-datetimepicker.zh-CN.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/bootstrap-datetimepicker.zh-CN.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7405 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/bootstrap-datetimepicker.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/bootstrap-datetimepicker.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7413 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/page.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/page.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/login.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/login.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7405 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/result.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/result.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7410 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /images/smallbook.png HTTP/1.1", upstream: "http://172.16.134.81:39080/images/smallbook.png", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7405 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /images/appleicon.png HTTP/1.1", upstream: "http://172.16.134.81:39080/images/appleicon.png", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/css/headerCommon.css"
2019/10/22 20:47:59 [error] 12#12: *7410 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /images/downicon.png HTTP/1.1", upstream: "http://172.16.134.81:39080/images/downicon.png", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/css/headerCommon.css"
2019/10/22 20:47:59 [error] 12#12: *7407 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /images/snavicon.png HTTP/1.1", upstream: "http://172.16.134.81:39080/images/snavicon.png", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/css/headerCommon.css"
2019/10/22 20:47:59 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/app.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/app.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/bootstrap-datetimepicker.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/bootstrap-datetimepicker.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/bootstrap-datetimepicker.zh-CN.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/bootstrap-datetimepicker.zh-CN.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/page.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/page.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/login.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/login.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /js/result.js HTTP/1.1", upstream: "http://172.16.134.81:39080/js/result.js", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:47:59 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:48:02 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:48:03 [error] 12#12: *7407 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:49:01 [error] 12#12: *7410 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "POST /search/rankHistory HTTP/1.1", upstream: "http://172.16.134.81:39080/search/rankHistory", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/23 09:32:11 [error] 12#12: *9213 upstream prematurely closed connection while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app?id=393765873"
2019/10/23 09:32:11 [error] 12#12: *9213 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/23 09:32:13 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app?id=393765873"
2019/10/23 09:32:13 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/23 09:32:14 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app?id=393765873"
2019/10/23 09:32:14 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/23 09:32:15 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app?id=393765873"
2019/10/23 09:32:15 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/23 09:32:15 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app?id=393765873"
2019/10/23 09:32:15 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/23 09:32:15 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app?id=393765873"
2019/10/23 09:32:15 [error] 12#12: *9213 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
